HomeTeam,AwayTeam,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,FTH Goals,FTA Goals
13,25,8.0,10.0,7.0,5.0,15.0,7.0,5.0,4.0,1.0,0.0,0.0,1.0,2,2
47,18,20.0,10.0,11.0,6.0,7.0,12.0,12.0,7.0,0.0,1.0,0.0,0.0,2,1
3,29,12.0,9.0,8.0,5.0,11.0,10.0,5.0,4.0,2.0,1.0,0.0,0.0,1,0
24,34,14.0,7.0,6.0,5.0,9.0,21.0,9.0,2.0,2.0,2.0,0.0,0.0,1,2
31,14,21.0,17.0,12.0,6.0,12.0,12.0,7.0,5.0,1.0,2.0,0.0,0.0,2,1
2,47,14.0,11.0,9.0,7.0,11.0,13.0,9.0,2.0,1.0,0.0,0.0,0.0,2,2
42,0,13.0,9.0,7.0,7.0,14.0,15.0,7.0,4.0,1.0,1.0,0.0,0.0,2,2
19,13,8.0,8.0,6.0,3.0,15.0,13.0,4.0,7.0,1.0,1.0,0.0,0.0,2,0
38,5,9.0,11.0,3.0,8.0,13.0,16.0,2.0,2.0,4.0,3.0,0.0,0.0,1,2
29,26,11.0,9.0,4.0,4.0,19.0,15.0,3.0,4.0,2.0,1.0,0.0,0.0,0,1
25,28,12.0,11.0,5.0,5.0,13.0,14.0,4.0,2.0,1.0,1.0,0.0,0.0,1,1
18,3,16.0,10.0,9.0,7.0,8.0,22.0,8.0,5.0,0.0,4.0,0.0,0.0,0,1
30,1,31.0,12.0,21.0,9.0,12.0,15.0,12.0,8.0,0.0,1.0,0.0,1.0,1,2
29,13,10.0,5.0,6.0,0.0,10.0,8.0,8.0,3.0,0.0,1.0,0.0,0.0,2,0
1,31,10.0,5.0,1.0,4.0,17.0,13.0,7.0,3.0,1.0,4.0,0.0,1.0,0,0
3,25,12.0,8.0,4.0,4.0,16.0,14.0,2.0,4.0,2.0,1.0,0.0,0.0,1,0
5,42,15.0,4.0,10.0,0.0,18.0,21.0,11.0,5.0,1.0,2.0,0.0,0.0,2,0
14,18,16.0,5.0,6.0,4.0,11.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0,0
13,2,12.0,7.0,5.0,4.0,14.0,9.0,9.0,3.0,1.0,0.0,0.0,0.0,1,1
47,30,12.0,16.0,8.0,10.0,10.0,10.0,6.0,8.0,1.0,2.0,0.0,0.0,2,0
26,19,18.0,11.0,10.0,7.0,16.0,10.0,14.0,7.0,0.0,3.0,0.0,0.0,0,0
28,38,15.0,9.0,7.0,5.0,11.0,9.0,6.0,3.0,1.0,1.0,0.0,0.0,1,3
34,29,9.0,19.0,4.0,12.0,14.0,8.0,3.0,13.0,2.0,1.0,0.0,0.0,1,0
0,24,15.0,7.0,8.0,2.0,10.0,10.0,3.0,8.0,0.0,0.0,0.0,0.0,5,0
29,25,16.0,12.0,12.0,5.0,11.0,11.0,7.0,4.0,0.0,3.0,0.0,0.0,1,0
24,18,14.0,8.0,7.0,4.0,12.0,12.0,10.0,5.0,2.0,1.0,0.0,0.0,1,1
19,3,10.0,11.0,7.0,7.0,12.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,3,4
26,13,25.0,6.0,16.0,3.0,12.0,17.0,7.0,4.0,1.0,0.0,0.0,0.0,0,1
34,2,12.0,6.0,6.0,2.0,19.0,11.0,4.0,4.0,1.0,2.0,0.0,1.0,3,1
1,14,5.0,6.0,3.0,2.0,8.0,14.0,7.0,2.0,0.0,1.0,0.0,0.0,3,2
30,38,25.0,16.0,18.0,8.0,11.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,3,1
42,28,15.0,9.0,10.0,8.0,10.0,21.0,4.0,3.0,1.0,1.0,0.0,0.0,1,1
47,5,8.0,13.0,3.0,4.0,12.0,11.0,6.0,9.0,2.0,1.0,0.0,0.0,1,2
31,0,9.0,11.0,5.0,5.0,14.0,12.0,5.0,4.0,0.0,1.0,0.0,0.0,0,0
5,1,16.0,7.0,7.0,3.0,10.0,12.0,6.0,4.0,1.0,3.0,0.0,0.0,2,2
14,30,19.0,9.0,9.0,5.0,10.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0,0,0
3,24,9.0,8.0,7.0,3.0,14.0,13.0,6.0,4.0,2.0,2.0,0.0,0.0,1,2
2,29,11.0,10.0,8.0,6.0,11.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,1,2
28,47,14.0,15.0,8.0,9.0,9.0,12.0,5.0,6.0,0.0,1.0,0.0,0.0,3,3
13,34,9.0,10.0,3.0,8.0,14.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0,1,1
25,19,10.0,9.0,7.0,4.0,13.0,15.0,15.0,4.0,2.0,0.0,0.0,0.0,0,2
18,42,13.0,12.0,10.0,7.0,9.0,14.0,8.0,4.0,0.0,3.0,0.0,1.0,3,1
0,26,12.0,12.0,7.0,5.0,16.0,9.0,2.0,8.0,3.0,1.0,0.0,0.0,4,2
24,25,15.0,14.0,10.0,9.0,19.0,14.0,7.0,11.0,2.0,1.0,1.0,0.0,3,2
26,3,24.0,9.0,11.0,2.0,8.0,10.0,6.0,4.0,0.0,1.0,0.0,0.0,4,0
1,28,6.0,7.0,3.0,4.0,13.0,13.0,5.0,4.0,1.0,2.0,0.0,0.0,1,1
47,38,8.0,13.0,3.0,10.0,12.0,8.0,3.0,6.0,2.0,1.0,0.0,0.0,1,4
42,14,12.0,10.0,7.0,7.0,10.0,10.0,5.0,4.0,2.0,0.0,0.0,0.0,0,1
30,5,10.0,13.0,6.0,8.0,13.0,15.0,7.0,8.0,2.0,2.0,0.0,0.0,2,0
31,18,12.0,13.0,8.0,6.0,11.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0,4,2
19,2,6.0,6.0,5.0,1.0,24.0,22.0,4.0,2.0,4.0,2.0,0.0,0.0,0,0
